Employee_ID,Cluster,Job_Family,Age_Bucket,Generation,Gender,Tenure_Bucket,Grade_Bucket,Latest_Rating,No_Of_Promos,Compensation_Ratio_Bucket,Team_Change,Title_Change,Manager_Change,Total_Span,Manager_Age,Manager_Gender,Manager_Generation,Manager_Tenure_Bukcet,Manager_Total_Span,Manager_latest_Rating,Manager_Grade_Bucket,latest_Increment,Career Development,Change Management,Collaboration,Commit,Communication,Enabling Infrastructure,Ethics,Inclusion & Diversity,Leadership,Openness,People Manager,Performance,Respect,Role Clarity,Strategy & Direction,Talent & Staffing,Total Rewards,Values - Audacity,Values - Bias for Action,Values - Customer First,Work-Life Balance,NPS_Score,TSLP Bucket,Employee Status,Emp Stat
121320,IT,IT Network,35-39 Years,Gen Y,M,2-3 Yrs,8--9,EE,0,0.9 - 1,1,0,1,0,34,M,Gen Y,Above 5 Yrs,9,EE,10--11,9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
121438,eKart,Projects - F & I - eKart,35-39 Years,Gen Y,M,2-3 Yrs,8--9,ME,0,0.8 - 0.9,0,0,0,0,49,M,Gen X,2-3 Yrs,4,EE,12--13,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
129485,Jeeves,Jeeves,40-44 Years,Gen Y,M,1-2 Yrs,10--11,EE,0,0.9 - 1,2,0,3,0,44,M,Gen X,1-2 Yrs,7,ME,14--15,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
129496,Flipkart Group,Ethics & Compliance,30-34 Years,Gen Y,M,1-2 Yrs,8--9,ME,0,0.7 - 0.8,0,0,0,0,34,M,Gen Y,2-3 Yrs,7,ME,12--13,10,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
125133,eKart,Projects - F & I - eKart,45-49 Years,Gen X,M,2-3 Yrs,10--11,ME,0,0.8 - 0.9,0,0,2,0,37,M,Gen Y,0-3 Months,4,ME,10--11,7.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
112186,Flipkart Group,Fire Safety and Security,45-49 Years,Gen X,M,2-3 Yrs,8--9,ME,0,0.7 - 0.8,0,0,3,0,52,M,Gen X,Above 5 Yrs,7,ME,10--11,7.8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
112275,Flipkart Group,Ethics & Compliance,25-29 Years,Gen Z,F,1-2 Yrs,8--9,EE,0,0.8 - 0.9,0,0,2,0,45,M,Gen X,2-3 Yrs,6,ME,12--13,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,1--2 Years,Active,Active
112860,eKart,Large Operations,25-29 Years,Gen Z,M,2-3 Yrs,8--9,EE,0,0.6 - 0.7,0,0,4,0,42,M,Gen X,Above 5 Yrs,4,ME,12--13,15,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
134325,FSG,Data Scientist,25-29 Years,Gen Y,F,1-2 Yrs,8--9,ME,0,0.7 - 0.8,2,0,2,0,40,M,Gen Y,4-5 Yrs,19,EE,12--13,11.9,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
109536,eKart,Projects - F & I - eKart,40-44 Years,Gen X,M,2-3 Yrs,10--11,ME,0,0.8 - 0.9,1,0,1,0,35,M,Gen Y,Above 5 Yrs,6,EE,12--13,7.7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,3--4 Years,Active,Active
134372,SXP,Software Development Engineering,25-29 Years,Gen Y,M,1-2 Yrs,8--9,EE,0,0.9 - 1,2,0,2,0,34,M,Gen Y,2-3 Yrs,5,ME,10--11,8,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2--3 Years,Active,Active
